precommits,consensus_address,consensus_pubkey
257595,bostromvalcons1y82sfwv8jvh03088339fp7t308jmf4vp6z7z9w,bostromvalconspub133c8vc532kfy0es9w05eds8uvutf0wm5fmhjzkqdyjvg3mz4catqkes9jg
257471,bostromvalcons1ersedl7va75vpupjy9use4ueu9c3fnrm2qj9cf,bostromvalconspub1hvaatruf4ydc79fww5027c7u7preuq0q7fu7mxphf0ttj7n7vsuq55tjdc
255382,bostromvalcons1t0v6ra4jnrakrvdqmuu45rwsrt80rdan5pwvkj,bostromvalconspub1d9hq8wlvey39ly5ukzwalk0g2nvnmdtsr2uawqjhge7s8r4sne4qqa0rul
251410,bostromvalcons1m3geqy68ksqtnxjnvzseu5t8glu7p7w7dv00qk,bostromvalconspub1yf98tt3daezaprn7753kr5du6apa7jx6p3gx38e3uej8g77wmskqxdgrsm
250121,bostromvalcons1ma9nu6e0mrc9jh4jnd69c74q024kgy2rrydva0,bostromvalconspub1qqf3343emdpg2y3dtatxujt4m2n0lfq0g9tw0pmyv7lu79umu7wqha0ffr
248093,bostromvalcons16763h8avzsv48r635n8m5k8c98m4ny7z7pqnsd,bostromvalconspub106uk3jxxwk6fl9rtzqgxsv2nzlm46vdeg0wdhsj2mes3r6883r2qxmytje
248080,bostromvalcons1r64aqw3sndxgsvslfr8ftg9q9k8f4hlh0wd9c9,bostromvalconspub1ymjsec98dl6qyxcddecmm4pt72ty85nv8z5c299lfa56txhuxd9qmsyx9l
247375,bostromvalcons1u57dczyn7yx73fpemlnjlruaztwudt2m3scru0,bostromvalconspub1t789radevc4xq3t74sxzqxsg6tuhrer8qezr533dldh60fhca3gstwp4me
246097,bostromvalcons18f8nyhl3ps55sm9xz0phpvfhj3ytqu7vm8k8ga,bostromvalconspub1dp7w3ulurn5ryuajkggv0xkv6vu8qgn2wr60epeeas4jhwsmxrxsagac37
241288,bostromvalcons1sam9qwcvp423y8jpgknn8n6ejj46mkdltwudzm,bostromvalconspub1c7ulvxm497q0qz7qz3xy576ers2s79hcqznvhlz0vvzcl58557pq989tw7
